community_clusters,hashtags_of_community_clusters,score_of_community_clusters,k_mean_clusters,hashtags_of_k_mean_clusters,score_of_k_mean_clusters,levenshtein_clusters,hashtags_of_levenshtein_clusters,score_of_levenshtein_clusters,best_clusters,hashtags_of_best_clusters,score_of_best_clusters
community cluster 1668,"['lebensfreude', 'mutigdiewelterobern', 'glaubandich', 'personalisiertenamenslieder', 'selbstwertschätzung', 'berufung', 'musikgibtkraft', 'aufstellung']",12.0,,,,,,,,,
community cluster 1669,"['namenslieder', 'sandraburgstaller', 'mutigdiewelterobern', 'psychotherapie', 'wertschätzung', 'selbstwert', 'dubistwertvoll', 'interview']",15.0,,,,,,,,,
community cluster 1670,"['robertdenk', 'mutigdiewelterobern', 'wahrheit', 'zitamartus', 'klarheit', 'wahle', 'personalisiertelieder', 'singen']",13.0,,,,,,,,,
community cluster 1671,"['instrumentenliebe', 'gewinnspiel', 'mutigdiewelterobern', 'maultrommel', 'franzwimner', 'personalisiertekinderlieder', 'wirkungvonmusik', 'liebe']",23.0,,,,,,,,,
community cluster 1672,"['geschenkkarte', 'aboutBook', 'mutigdiewelterobern', 'selbstvertrauenstärken', 'nurmut', 'kraftlieder', 'steirischewirtschaft', 'individuellelieder']",9.0,,,,,,,,,
community cluster 1673,"['namen', 'musik', 'interspar', 'dubistgutgenug', 'mutigdiewelterobern', 'selbstliebe', 'wertvoll', 'deinestimme']",12.0,,,,,,,,,
community cluster 1674,"['selbstbewusstsein', 'mutigdiewelterobern', 'dibistwertvoll', 'rhyhtmusinstrumentefürkinder', 'cajon', 'instrumente', 'herz', 'gesundheit']",13.0,,,,,,,,,
community cluster 1675,"['musikliebe', 'heimatlieder', 'mutigdiewelterobern', 'selstbliebe', 'friede', 'klangbruder', 'jederistmusikalisch', 'bedeutungvonnamen']",9.0,,,,,,,,,
community cluster 1676,"['musikimalltag', 'diekraftderrituale', 'mutigdiewelterobern', 'personalisiertegeschenke', 'vortragsreihe', 'dubistwrrtvoll', 'warumritualesowichtigsind', 'glaunandich']",9.0,,,,,,,,,
community cluster 1677,"['personalksiertenamenslieder', 'personalisierteNamenslieder', 'freude', 'mutigdiewelterobern', 'taufgeschenk', 'mut', 'dasperfektegeschenk', 'musikalsbreitensport']",16.0,,,,,,,,,
community cluster 1678,"['rituale', 'mutigdiewelterobern', 'mutigdiewelteroberm', 'bewusstsein', 'taufgeschenke']",9.625,,,,,,,,,
community cluster 1679,"['gewinnspiel', 'freude', 'natur', 'selbstliebe', 'meditation', 'entspannung']",43.75,,,,,,,,,
community cluster 1680,"['gewinnspiel', 'freude', 'natur', 'fresh', 'selbstliebe', 'icedtea', 'eistee', 'liebe']",49.0,,,,,,,,,
community cluster 1681,"['cocktail', 'fruity', 'erfrischend', 'sommer', 'lecker', 'fresh', 'fruchtig', 'bio']",43.0,,,,,,,,,
community cluster 1682,"['probieren', 'österreich', 'genuss', 'getränke', 'lemon', 'trinken', 'bio', 'austria']",34.0,,,,,,,,,
community cluster 1683,"['minze', 'netherlands', 'pure', 'review', 'healthy', 'niederlande', 'bio', 'tester']",25.0,,,,,,,,,
community cluster 1684,"['urlaub', 'frisch', 'tasting', 'erdbeeren', 'win', 'bio', 'organic', 'giveaway']",38.0,,,,,,,,,
community cluster 1685,"['fruity', 'sommer', 'fresh', 'fruchtig', 'tea', 'icedtea', 'organic', 'tealover']",37.0,,,,,,,,,
community cluster 1686,"['erfrischend', 'teeliebe', 'wochenende', 'getränke', 'beeren', 'trinken', 'freitag', 'organic']",33.0,,,,,,,,,
community cluster 1687,"['schwarztee', 'mate', 'probieren', 'österreich', 'blacktea', 'zitrone', 'organic', 'erfrischung']",34.0,,,,,,,,,
community cluster 1688,"['wasser', 'genuss', 'pure', 'tester', 'lemon', 'niederlande', 'organic', 'weekend']",38.0,,,,,,,,,
community cluster 1689,"['hitze', 'review', 'hochdiehändewochenende', 'healthy', 'rezepte', 'kochen', 'organic', 'netherlands']",35.0,,,,,,,,,
community cluster 1690,"['urlaub', 'nachhaltig', 'selfmade', 'eistee', 'tasting', 'organic', 'berries']",42.75,,,,,,,,,
community cluster 1691,"['nachhaltig', 'teeliebe', 'wochenende', 'friday', 'tea', 'tee', 'trinken', 'tealover']",38.0,,,,,,,,,
community cluster 1692,"['minze', 'montag', 'wasser', 'wochenstart', 'nachhaltig', 'österreich', 'erfrischung', 'weekend']",44.0,,,,,,,,,
community cluster 1693,"['homemade', 'nachhaltig', 'frisch', 'hochdiehändewochenende', 'erdbeeren', 'rezepte', 'eistee']",36.0,,,,,,,,,
community cluster 1694,"['cocktail', 'erfrischend', 'sommer', 'fresh', 'icedtea', 'beeren', 'eistee', 'freitag']",39.0,,,,,,,,,
community cluster 1695,"['rotbusch', 'lecker', 'teeliebe', 'wochenende', 'friday', 'getränke', 'eistee', 'rooibos']",37.0,,,,,,,,,
community cluster 1696,"['schwarztee', 'mate', 'österreich', 'blacktea', 'eistee', 'trinken', 'austria', 'erfrischung']",32.0,,,,,,,,,
community cluster 1697,"['hitze', 'genuss', 'frisch', 'lemon', 'zitrone', 'eistee', 'berries', 'weekend']",41.0,,,,,,,,,
community cluster 1698,"['fruity', 'sommer', 'fresh', 'icedtea', 'win', 'eistee', 'beeren', 'tasting']",37.0,,,,,,,,,
community cluster 1699,"['cocktail', 'erfrischend', 'sommer', 'fresh', 'wochenende', 'icedtea', 'beeren', 'freitag']",39.0,,,,,,,,,
community cluster 1700,"['mate', 'cocktail', 'rotbusch', 'lecker', 'blacktea', 'erfrischung', 'zitrone', 'rooibos']",32.0,,,,,,,,,
community cluster 1701,"['minze', 'cocktail', 'hitze', 'genuss', 'frisch', 'erdbeeren', 'rezepte', 'lemon']",31.0,,,,,,,,,
community cluster 1702,"['cocktail', 'urlaub', 'fresh', 'selfmade', 'icedtea', 'vegetarisch', 'berries']",40.5,,,,,,,,,
community cluster 1703,"['erfrischend', 'sommer', 'fresh', 'wochenende', 'icetea', 'icedtea', 'beeren', 'freitag']",42.0,,,,,,,,,
community cluster 1704,"['schwarztee', 'rotbusch', 'lecker', 'blacktea', 'getränke', 'icedtea', 'summer', 'rooibos']",23.0,,,,,,,,,
community cluster 1705,"['mate', 'vegan', 'genuss', 'lemon', 'icedtea', 'zitrone', 'austria', 'erfrischung']",38.0,,,,,,,,,
community cluster 1706,"['hitze', 'frisch', 'hochdiehändewochenende', 'tea', 'rezepte', 'icedtea', 'kochen', 'tealover']",29.0,,,,,,,,,
community cluster 1707,"['wasser', 'vegan', 'genuss', 'teeliebe', 'wochenende', 'tea', 'tealover', 'weekend']",53.0,,,,,,,,,
community cluster 1708,"['vegan', 'genuss', 'teeliebe', 'wochenende', 'tee', 'summer', 'tealover', 'weekend']",48.0,,,,,,,,,
community cluster 1709,"['hitze', 'wasser', 'sommer', 'frisch', 'hochdiehändewochenende', 'kochen', 'tealover']",29.25,,,,,,,,,
community cluster 1710,"['fruity', 'erfrischend', 'sommer', 'fresh', 'wochenende', 'friday', 'beeren', 'freitag']",37.0,,,,,,,,,
community cluster 1711,"['schwarztee', 'rotbusch', 'lecker', 'fresh', 'getränke', 'icetea', 'summer', 'rooibos']",34.0,,,,,,,,,
community cluster 1712,"['mate', 'vegan', 'fresh', 'blacktea', 'lemon', 'zitrone', 'austria', 'erfrischung']",36.0,,,,,,,,,
community cluster 1713,"['weekend', 'ingwer', 'genuss', 'fresh', 'healthy', 'berlin', 'energy', 'pure']",45.0,,,,,,,,,
community cluster 1714,"['giveaway', 'hitze', 'fresh', 'frisch', 'selfmade', 'rezepte', 'share', 'berries']",34.0,,,,,,,,,
community cluster 1715,"['probieren', 'erfrischend', 'sommer', 'lecker', 'vegan', 'fruchtig', 'getränke', 'trinken']",47.0,,,,,,,,,
community cluster 1716,"['netherlands', 'österreich', 'review', 'fruchtig', 'lemon', 'niederlande', 'austria', 'tester']",24.0,,,,,,,,,
community cluster 1717,"['probieren', 'erfrischend', 'lecker', 'vegan', 'fruchtig', 'getränke', 'trinken', 'tasting']",41.0,,,,,,,,,
community cluster 1718,"['ingwer', 'fruity', 'vegan', 'sommer', 'healthy', 'summer', 'giveaway', 'pure']",43.0,,,,,,,,,
community cluster 1719,"['rotbusch', 'erfrischend', 'sommer', 'wochenende', 'icetea', 'beeren', 'freitag', 'rooibos']",37.0,,,,,,,,,
community cluster 1720,"['schwarztee', 'mate', 'probieren', 'sommer', 'blacktea', 'getränke', 'trinken', 'erfrischung']",29.0,,,,,,,,,
community cluster 1721,"['sommer', 'österreich', 'genuss', 'tester', 'lemon', 'zitrone', 'niederlande', 'weekend']",46.0,,,,,,,,,
community cluster 1722,"['sommer', 'milk', 'urlaub', 'review', 'selfmade', 'rezepte', 'berries', 'netherlands']",33.0,,,,,,,,,
community cluster 1723,"['rotbusch', 'erfrischend', 'lecker', 'wochenende', 'icetea', 'beeren', 'freitag', 'rooibos']",38.0,,,,,,,,,
community cluster 1724,"['schwarztee', 'mate', 'vegan', 'blacktea', 'beeren', 'zitrone', 'summer', 'erfrischung']",31.0,,,,,,,,,
community cluster 1725,"['hitze', 'urlaub', 'genuss', 'frisch', 'selfmade', 'rezepte', 'lemon', 'beeren']",29.0,,,,,,,,,
community cluster 1726,"['gewinnspiel', 'erfrischend', 'beeren', 'win', 'freitag', 'berries']",42.5,,,,,,,,,
community cluster 1727,"['rotbusch', 'erfrischend', 'lecker', 'wochenende', 'icetea', 'freitag', 'summer', 'rooibos']",36.0,,,,,,,,,
community cluster 1728,"['schwarztee', 'mate', 'erfrischend', 'vegan', 'blacktea', 'getränke', 'trinken', 'erfrischung']",38.0,,,,,,,,,
community cluster 1729,"['probieren', 'erfrischend', 'österreich', 'genuss', 'lemon', 'zitrone', 'niederlande', 'austria']",30.0,,,,,,,,,
community cluster 1730,"['hitze', 'netherlands', 'erfrischend', 'urlaub', 'review', 'frisch', 'rezepte', 'tester']",24.0,,,,,,,,,
community cluster 1731,"['gewinnspiel', 'erfrischend', 'selfmade', 'wochenende', 'friday', 'win', 'freitag', 'berries']",48.0,,,,,,,,,
community cluster 1732,"['schwarztee', 'rotbusch', 'lecker', 'wochenende', 'icetea', 'freitag', 'summer', 'rooibos']",34.0,,,,,,,,,
community cluster 1733,"['mate', 'vegan', 'genuss', 'blacktea', 'lemon', 'zitrone', 'freitag', 'erfrischung']",40.0,,,,,,,,,
community cluster 1734,"['hitze', 'urlaub', 'frisch', 'wochenende', 'rezepte', 'kochen', 'freitag']",30.375,,,,,,,,,
community cluster 1735,"['ingwer', 'vegan', 'österreich', 'friday', 'berlin', 'trinken', 'energy', 'erfrischung']",51.0,,,,,,,,,
community cluster 1736,"['homemade', 'gewinnspiel', 'friday', 'icetea', 'share', 'win', 'giveaway', 'rooibos']",50.0,,,,,,,,,
community cluster 1737,"['schwarztee', 'rotbusch', 'teeliebe', 'wochenende', 'icetea', 'tee', 'summer', 'rooibos']",28.0,,,,,,,,,
community cluster 1738,"['mate', 'vegan', 'blacktea', 'wochenende', 'lemon', 'zitrone', 'austria', 'erfrischung']",36.0,,,,,,,,,
community cluster 1739,"['gewinnspiel', 'hitze', 'wasser', 'urlaub', 'genuss', 'wochenende', 'hochdiehändewochenende', 'weekend']",48.0,,,,,,,,,
community cluster 1740,"['vegan', 'österreich', 'teeliebe', 'icetea', 'tee', 'austria', 'summer', 'erfrischung']",46.0,,,,,,,,,
community cluster 1741,"['wasser', 'genuss', 'teeliebe', 'hochdiehändewochenende', 'icetea', 'rezepte', 'kochen', 'weekend']",47.0,,,,,,,,,
community cluster 1742,"['schwarztee', 'rotbusch', 'lecker', 'blacktea', 'erfrischung', 'getränke', 'icetea', 'rooibos']",35.0,,,,,,,,,
community cluster 1743,"['mate', 'österreich', 'genuss', 'icetea', 'rezepte', 'lemon', 'zitrone', 'austria']",39.0,,,,,,,,,
community cluster 1744,"['hitze', 'urlaub', 'frisch', 'selfmade', 'icetea', 'rooibos']",31.25,,,,,,,,,
community cluster 1745,"['wasser', 'vegan', 'genuss', 'rezepte', 'tee', 'kochen', 'summer', 'weekend']",48.0,,,,,,,,,
community cluster 1746,"['urlaub', 'milk', 'selfmade', 'hochdiehändewochenende', 'tee', 'share', 'summer', 'berries']",27.0,,,,,,,,,
community cluster 1747,"['schwarztee', 'rotbusch', 'lecker', 'vegan', 'blacktea', 'erfrischung', 'summer', 'rooibos']",37.0,,,,,,,,,
community cluster 1748,"['mate', 'genuss', 'selfmade', 'rezepte', 'lemon', 'zitrone', 'berries', 'rooibos']",31.0,,,,,,,,,
community cluster 1749,"['schwarztee', 'gewinnspiel', 'montag', 'rotbusch', 'blacktea', 'erfrischung', 'summer', 'rooibos']",27.0,,,,,,,,,
community cluster 1750,"['schwarztee', 'mate', 'rotbusch', 'lecker', 'vegan', 'blacktea', 'summer', 'erfrischung']",38.0,,,,,,,,,
community cluster 1751,"['hitze', 'rotbusch', 'urlaub', 'genuss', 'frisch', 'rezepte', 'lemon', 'zitrone']",27.0,,,,,,,,,
community cluster 1752,"['rotbusch', 'lecker', 'selfmade', 'win', 'summer', 'berries']",36.25,,,,,,,,,
community cluster 1753,"['schwarztee', 'mate', 'lecker', 'blacktea', 'getränke', 'trinken', 'summer', 'erfrischung']",28.0,,,,,,,,,
community cluster 1754,"['probieren', 'lecker', 'genuss', 'review', 'lemon', 'zitrone', 'niederlande', 'tester']",30.0,,,,,,,,,
community cluster 1755,"['hitze', 'lecker', 'milk', 'urlaub', 'frisch', 'summer', 'netherlands']",24.75,,,,,,,,,
community cluster 1756,"['schwarztee', 'mate', 'österreich', 'blacktea', 'lemon', 'zitrone', 'summer', 'erfrischung']",27.0,,,,,,,,,
community cluster 1757,"['wasser', 'genuss', 'healthy', 'rezepte', 'kochen', 'berlin', 'summer', 'pure']",30.0,,,,,,,,,
community cluster 1758,"['homemade', 'schwarztee', 'urlaub', 'frisch', 'trinken', 'vegetarisch', 'summer', 'giveaway']",28.0,,,,,,,,,
community cluster 1759,"['mate', 'probieren', 'vegan', 'österreich', 'getränke', 'lemon', 'trinken', 'austria']",40.0,,,,,,,,,
community cluster 1760,"['review', 'getränke', 'tester', 'niederlande', 'trinken', 'berries', 'netherlands']",24.75,,,,,,,,,
community cluster 1761,"['weekend', 'probieren', 'vegan', 'österreich', 'lemon', 'trinken', 'austria', 'erfrischung']",51.0,,,,,,,,,
community cluster 1762,"['minze', 'schwarztee', 'genuss', 'review', 'erdbeeren', 'rezepte', 'trinken', 'netherlands']",27.0,,,,,,,,,
community cluster 1763,"['schwarztee', 'mate', 'hitze', 'vegan', 'blacktea', 'lemon', 'zitrone', 'erfrischung']",34.0,,,,,,,,,
community cluster 1764,"['schwarztee', 'urlaub', 'selfmade', 'blacktea', 'win', 'berries']",32.5,,,,,,,,,
community cluster 1765,"['mate', 'vegan', 'genuss', 'blacktea', 'rezepte', 'lemon', 'zitrone', 'erfrischung']",41.0,,,,,,,,,
community cluster 1766,"['hitze', 'urlaub', 'frisch', 'blacktea', 'selfmade', 'win', 'erfrischung']",31.5,,,,,,,,,
community cluster 1767,"['montag', 'mate', 'vegan', 'österreich', 'lemon', 'zitrone', 'austria', 'erfrischung']",41.0,,,,,,,,,
community cluster 1768,"['giveaway', 'homemade', 'wochenstart', 'genuss', 'erfrischung', 'rezepte', 'berries', 'weekend']",45.0,,,,,,,,,
community cluster 1769,"['mate', 'gewinnspiel', 'österreich', 'zitrone', 'win', 'tasting', 'erfrischung']",46.125,,,,,,,,,
community cluster 1770,"['montag', 'mate', 'sweet', 'monday', 'vegan', 'selfmade', 'giveaway', 'berries']",43.0,,,,,,,,,
community cluster 1771,"['international', 'monday', 'wasser', 'vegan', 'österreich', 'lemon', 'zitrone', 'pure']",40.0,,,,,,,,,
community cluster 1772,"['mate', 'probieren', 'netherlands', 'vegan', 'review', 'frisch', 'niederlande', 'tester']",32.0,,,,,,,,,
community cluster 1773,"['mate', 'hitze', 'vegan', 'urlaub', 'hochdiehändewochenende', 'austria', 'berries']",38.25,,,,,,,,,
community cluster 1774,"['mate', 'probieren', 'genuss', 'frisch', 'rezepte', 'lemon', 'zitrone', 'austria']",24.0,,,,,,,,,
community cluster 1775,"['probieren', 'netherlands', 'österreich', 'review', 'lemon', 'niederlande', 'austria', 'tester']",24.0,,,,,,,,,
community cluster 1776,"['international', 'minze', 'genuss', 'lemon', 'niederlande', 'berlin', 'austria', 'tester']",22.0,,,,,,,,,
community cluster 1777,"['wochenstart', 'frisch', 'selfmade', 'erdbeeren', 'vegetarisch', 'energy', 'austria', 'netherlands']",24.0,,,,,,,,,
community cluster 1778,"['österreich', 'win', 'share', 'zitrone', 'lemon', 'tasting', 'austria', 'berries']",35.0,,,,,,,,,
community cluster 1779,"['international', 'österreich', 'genuss', 'review', 'tester', 'lemon', 'niederlande', 'weekend']",42.0,,,,,,,,,
community cluster 1780,"['homemade', 'sweet', 'urlaub', 'milk', 'österreich', 'healthy', 'kochen', 'netherlands']",38.0,,,,,,,,,
community cluster 1781,"['gewinnspiel', 'österreich', 'selfmade', 'lemon', 'zitrone', 'tasting', 'vegetarisch', 'weekend']",50.0,,,,,,,,,
community cluster 1782,"['hitze', 'urlaub', 'genuss', 'frisch', 'rezepte', 'lemon', 'zitrone']",28.125,,,,,,,,,
community cluster 1783,"['hitze', 'review', 'frisch', 'tester', 'lemon', 'niederlande', 'rezepte', 'netherlands']",21.0,,,,,,,,,
community cluster 1784,"['giveaway', 'gewinnspiel', 'urlaub', 'share', 'lemon', 'win', 'berries', 'weekend']",53.0,,,,,,,,,
community cluster 1785,"['ingwer', 'wasser', 'milk', 'genuss', 'hochdiehändewochenende', 'berlin', 'energy', 'weekend']",38.0,,,,,,,,,
community cluster 1786,"['minze', 'hitze', 'wasser', 'wochenstart', 'genuss', 'frisch', 'erdbeeren', 'rezepte']",25.0,,,,,,,,,
community cluster 1787,"['giveaway', 'urlaub', 'milk', 'genuss', 'selfmade', 'hochdiehändewochenende', 'win', 'berries']",40.0,,,,,,,,,
community cluster 1788,"['gewinnspiel', 'ingwer', 'wochenstart', 'genuss', 'berlin', 'fashion', 'energy']",47.25,,,,,,,,,
community cluster 1789,"['hitze', 'wasser', 'urlaub', 'frisch', 'hochdiehändewochenende', 'rezepte', 'kochen']",27.0,,,,,,,,,
community cluster 1790,"['international', 'gewinnspiel', 'sweet', 'frisch', 'selfmade', 'rezepte', 'win', 'berries']",43.0,,,,,,,,,
community cluster 1791,"['ingwer', 'healthy', 'win', 'energy', 'giveaway', 'pure']",37.5,,,,,,,,,
community cluster 1792,"['review', 'tester', 'niederlande', 'tasting', 'netherlands']",15.125,,,,,,,,,
community cluster 1793,"['minze', 'urlaub', 'frisch', 'erdbeeren', 'kochen', 'vegetarisch']",28.75,,,,,,,,,
community cluster 1794,"['tasting', 'review', 'netherlands']",11.375,,,,,,,,,
community cluster 1795,"['gewinnspiel', 'ingwer', 'hitze', 'frisch', 'hochdiehändewochenende', 'healthy', 'win']",43.875,,,,,,,,,
community cluster 1796,"['gewinnspiel', 'selfmade', 'win', 'share', 'berlin', 'energy', 'berries']",45.0,,,,,,,,,
community cluster 1797,"['gewinnspiel', 'ingwer', 'beer', 'wochenstart', 'graz', 'win', 'fashion', 'giveaway']",45.0,,,,,,,,,
community cluster 1798,"['urlaub', 'milk', 'selfmade', 'hochdiehändewochenende', 'kochen', 'vegetarisch', 'berries']",34.875,,,,,,,,,
community cluster 1799,"['hitze', 'urlaub', 'frisch', 'selfmade', 'vegetarisch', 'berries']",31.25,,,,,,,,,
community cluster 1800,"['sweet', 'flowers', 'flowerbouquet', 'selfmade', 'inlove', 'outfit', 'share', 'fashion']",42.0,,,,,,,,,
community cluster 1801,"['gewinnspiel', 'summertime', 'urlaub', 'share', 'win', 'fun', 'berries']",60.75,,,,,,,,,
community cluster 1802,"['Repost', 'bingo', 'musikbingo', 'bingosounds', 'graz', 'fun', 'austria', 'bingoqueen']",24.0,,,,,,,,,
community cluster 1803,"['bingo', 'livekonzert', 'musikbingo', 'bingosounds', 'graz', 'kingofthebingo', 'austria', 'bingoqueen']",12.0,,,,,,,,,
community cluster 1804,"['bingo', 'livekonzert', 'musikbingo', 'summertime', 'wochenende', 'graz', 'kingofthebingo', 'austria']",22.0,,,,,,,,,
community cluster 1805,"['quarantäne', 'bingo', 'summertime', 'musikbingo', 'game', 'wandern', 'graz', 'sommeringraz']",26.0,,,,,,,,,
community cluster 1806,"['bingo', 'livekonzert', 'musikbingo', 'bingosounds', 'graz', 'igersgraz', 'outfitoftheday', 'austria']",33.0,,,,,,,,,
community cluster 1807,"['quarantäne', 'bingo', 'beer', 'musikbingo', 'sommer', 'wandern', 'burger', 'austria']",32.0,,,,,,,,,
community cluster 1808,"['summertime', 'music', 'wandern', 'pool', 'fun', 'band']",52.5,,,,,,,,,
community cluster 1809,"['bingo', 'musikbingo']",7.0,,,,,,,,,
community cluster 1810,"['music', 'summertime', 'sommer', 'sommeringraz', 'burger', 'band']",42.5,,,,,,,,,
community cluster 1811,"['music', 'summertime', 'funny', 'whatsbetter', 'whattodo', 'icetea', 'quiz', 'fun']",44.0,,,,,,,,,
community cluster 1812,"['friends', 'game', 'funny', 'partnerincrime', 'friendship', 'fun', 'drinks', 'shooting']",54.0,,,,,,,,,
community cluster 1813,"['beer', 'sommer', 'genuss', 'wochenende', 'sommeringraz', 'rezepte', 'igersgraz', 'pflanzlicheernährung']",55.0,,,,,,,,,
community cluster 1814,"['beer', 'coldbrew', 'fresh', 'vienna', 'win', 'coffee', '25grams']",51.75,,,,,,,,,
community cluster 1815,"['girl', 'accessories', 'shopping', 'classy', 'summervibes', 'inlove', 'outfitoftheday', 'fashion']",47.0,,,,,,,,,
community cluster 1816,"['girl', 'fashionblogger', 'style', 'ootd', 'igersvienna', 'outfit', 'outfitoftheday', 'summer']",30.0,,,,,,,,,
community cluster 1817,"['carinthia', 'inspiration', 'girlpower', 'shopping', 'classy', 'flowerbouquet', 'summeroutfit', 'summer']",29.0,,,,,,,,,
community cluster 1818,"['italia', 'businesswoman', 'outfit', 'tulips', 'italy', 'summer', 'fromwhereistand']",24.75,,,,,,,,,
community cluster 1819,"['inspiration', 'summervibes', 'nature', 'outfit', 'art', 'flowerpower', 'igersaustria', 'spring']",86.0,,,,,,,,,
community cluster 1820,"['girlpower', 'ootd', 'summervibes', 'italia', 'italy', 'outfitoftheday', 'art']",58.5,,,,,,,,,
community cluster 1821,"['girl', 'accessories', 'shopping', 'classy', 'ootd', 'igersvienna', 'outfitoftheday', 'igersaustria']",40.0,,,,,,,,,
community cluster 1822,"['girlpower', 'flowers', 'ootd', 'love', 'italia', 'outfitoftheday', 'springvibes']",54.0,,,,,,,,,
community cluster 1823,"['girl', 'fashionblogger', 'inspiration', 'style', 'igersvienna', 'outfitoftheday', 'fashion', 'igersaustria']",58.0,,,,,,,,,
community cluster 1824,"['italy', 'shopping', 'classy', 'summeroutfit', 'outfitoftheday', 'fashion', 'austria']",37.125,,,,,,,,,
community cluster 1825,"['girl', 'fashionblogger', 'accessories', 'girlpower', 'igersvienna', 'springvibes', 'fashion', 'igersaustria']",45.0,,,,,,,,,
community cluster 1826,"['flowers', 'style', 'italia', 'holidays', 'italy', 'fashion']",62.5,,,,,,,,,
community cluster 1827,"['girl', 'inspiration', 'accessories', 'shopping', 'classy', 'style', 'igersvienna', 'igersaustria']",50.0,,,,,,,,,
community cluster 1828,"['girlpower', 'style', 'igersaustria', 'art', 'vacation', 'flowerpower', 'springvibes', 'spring']",65.0,,,,,,,,,
community cluster 1829,"['girl', 'love', 'blogger', 'holidays', 'vacation', 'italy', 'igersaustria']",78.75,,,,,,,,,
community cluster 1830,"['fashionblogger', 'girl', 'accessories', 'shopping', 'classy', 'austrianblogger', 'summeroutfit', 'igersaustria']",40.0,,,,,,,,,
community cluster 1831,"['girl', 'flowerbouquet', 'italia', 'graz', 'tulips', 'austria', 'igersaustria', 'fromwhereistand']",26.0,,,,,,,,,
community cluster 1832,"['girl', 'fashionblogger', 'classy', 'igersvienna', 'graz', 'igersgraz', 'summeroutfit', 'springvibes']",42.0,,,,,,,,,
community cluster 1833,"['girl', 'girlpower', 'flowers', 'tulips', 'flowerbouquet', 'igersgraz', 'flowerpower', 'art']",58.0,,,,,,,,,
community cluster 1834,"['carinthia', 'accessories', 'shopping', 'classy', 'graz', 'flowerpower', 'springvibes', 'spring']",28.0,,,,,,,,,
community cluster 1835,"['love', 'italia', 'graz', 'holidays', 'igersgraz', 'tulips', 'fromwhereistand']",65.25,,,,,,,,,
community cluster 1836,"['accessories', 'shopping', 'classy', 'business', 'igersgraz', 'italy', 'springvibes', 'spring']",55.0,,,,,,,,,
community cluster 1837,"['accessories', 'fashionblogger', 'shopping', 'classy', 'austrianblogger', 'igersvienna', 'springvibes', 'art']",39.0,,,,,,,,,
community cluster 1838,"['fashionblogger', 'girlpower', 'flowers', 'love', 'igersvienna', 'italia', 'vacation', 'italy']",66.0,,,,,,,,,
community cluster 1839,"['carinthia', 'inspiration', 'shopping', 'nature', 'flowerbouquet', 'tulips', 'flowerpower', 'fromwhereistand']",44.0,,,,,,,,,
community cluster 1840,"['italy', 'shopping', 'love', 'nature', 'holidays', 'vacation', 'summeroutfit', 'austria']",73.0,,,,,,,,,
community cluster 1841,"['accessories', 'shopping', 'classy', 'igersvienna', 'italia', 'summeroutfit', 'springvibes', 'art']",36.0,,,,,,,,,
community cluster 1842,"['inspiration', 'love', 'igersvienna', 'vacation', 'italy', 'austria']",70.0,,,,,,,,,
community cluster 1843,"['inspiration', 'fromwhereistand', 'flowerbouquet', 'businesswoman', 'business', 'tulips', 'flowerpower', 'spring']",38.0,,,,,,,,,
community cluster 1844,"['gewinnspiel', 'accessories', 'flowers', 'shopping', 'art', 'summeroutfit', 'spring']",58.5,,,,,,,,,
community cluster 1845,"['girlpower', 'flowers', 'classy', 'love', 'italia', 'summeroutfit', 'springvibes', 'art']",57.0,,,,,,,,,
community cluster 1846,"['accessories', 'classy', 'vacation', 'italy', 'austria', 'springvibes', 'spring']",39.375,,,,,,,,,
community cluster 1847,"['accessories', 'girlpower', 'flowers', 'spring', 'italia', 'summeroutfit', 'springvibes', 'art']",45.0,,,,,,,,,
community cluster 1848,"['flowers', 'fromwhereistand', 'flowerbouquet', 'italia', 'holidays', 'tulips', 'flowerpower', 'spring']",42.0,,,,,,,,,
community cluster 1849,"['carinthia', 'love', 'businesswoman', 'italy', 'austria', 'springvibes', 'spring']",51.75,,,,,,,,,
community cluster 1850,"['carinthia', 'girlpower', 'flowerbouquet', 'italia', 'flowerpower', 'springvibes', 'art']",33.75,,,,,,,,,
community cluster 1851,"['flowerpower', 'italia', 'art', 'vacation', 'tulips', 'italy', 'fromwhereistand']",48.375,,,,,,,,,
community cluster 1852,"['italy', 'girlpower', 'love', 'flowerbouquet', 'holidays', 'vacation', 'flowerpower']",66.375,,,,,,,,,
community cluster 1853,"['girlpower', 'flowers', 'flowerbouquet', 'italia', 'tulips', 'austria', 'fromwhereistand']",25.875,,,,,,,,,
community cluster 1854,"['flowers', 'love', 'flowerbouquet', 'holidays', 'vacation', 'tulips', 'italy']",72.0,,,,,,,,,
community cluster 1855,"['flowerbouquet', 'italia', 'vacation', 'tulips', 'italy', 'fromwhereistand']",36.25,,,,,,,,,
community cluster 1856,"['qualitytime', 'love', 'italia', 'businesswoman', 'business', 'holidays', 'austria']",55.125,,,,,,,,,
community cluster 1857,"['corgi', 'graz', 'vacation', 'igersgraz', 'dog', 'italy', 'venice']",57.375,,,,,,,,,
community cluster 1858,"['prost', 'holiday', 'refresh', 'herrengasse', 'videodreh', 'graz', 'cheers', 'summer']",28.0,,,,,,,,,
community cluster 1859,"['prost', 'cocktail', 'cheers', 'icetea', 'lendhafen', 'digitalisierung', 'durstlöscher', 'afterwork']",37.0,,,,,,,,,
