community_clusters,hashtags_of_community_clusters,score_of_community_clusters,silhouette_score_of_community_cluster,score_multiplied
community cluster 3795,"['tavel', 'natureshot', 'natureofinstagram', 'freizeitingraz', 'mountainlove', 'summer', 'carpediem', 'natureinfocus']",9,-0.529411764705882,-4.76470588235294
community cluster 926,"['foodphotography', 'vegan', 'zerowastekitchen', 'foodblogger', 'backenmitliebe', 'reels', 'zerowaste', 'droetker']",39,-0.122222222222222,-4.76666666666667
community cluster 2072,"['qualitytime', 'holiday', 'sunshine', 'flowers', 'happygirl', 'sundown', 'vacationmode', 'weekend']",62,-0.076923076923077,-4.76923076923078
community cluster 89,"['werbung', 'productdesign', 'india', 'italy', 'australia', 'dream', 'austria', 'creative']",23,-0.207547169811321,-4.77358490566038
community cluster 3269,"['shoeporn', 'streetwearfashion', 'ootd', 'shoegasm', 'halloween2020', 'ootdfashion', 'outfits', 'streetartphotography']",16,-0.298507462686567,-4.77611940298508
community cluster 3539,"['gulasch', 'genießen', 'spitzkraut', 'kotelett', 'lehrlingoesterreich', 'mitliebegemacht', 'kaffee', 'salat']",17,-0.28125,-4.78125
community cluster 3538,"['steirer', 'igergraz', 'veggie', 'trinken', 'bio', 'drinks', 'igersaustria']",48.375,-0.098901098901099,-4.78434065934066
community cluster 726,"['lebensfreude', 'selbstbewusstsein', 'glaubandich', 'soundhorn', 'selbstliebe', 'folgedeinemherzen', 'bewusstheit', 'dubistwertvoll']",17,-0.281578947368421,-4.78684210526316
community cluster 2380,"['muttertag', 'freude', 'genuss', 'mothersday', 'kochen', 'cooking', 'blumen', 'weekend']",47,-0.10188679245283,-4.78867924528302
community cluster 2578,"['cafefotter', 'fotterbreakfastclub', 'reopening', 'cafefottergraz', 'breakfastclub', 'coffeelover', 'frühling', 'kaffee']",33,-0.145161290322581,-4.79032258064516
community cluster 3391,"['yellowheels', 'moon', 'stars', 'outfitideas', 'star', 'styleblogger', 'styleinspo', 'outfitpost']",12,-0.4,-4.8
community cluster 2284,"['cooldrinks', 'natur', 'fresh', 'graz', 'sunset', 'snapshot', 'marry', 'regional']",39,-0.123076923076923,-4.80000000000001
community cluster 3359,"['vatertag2020', 'modainsta', 'mode', 'bedifferent', 'style', 'fashion', 'fathersday2020', 'yellowshoes']",27,-0.178082191780822,-4.80821917808219
community cluster 3303,"['mumie', 'expensivelifestyle', 'halloweenkostüm', 'expensive', 'firstprize', 'kostüm', 'expensivelifestyles', 'wedges']",9,-0.534246575342466,-4.80821917808219
community cluster 2961,"['Pandemie', 'österreich', 'bittersweet', 'mumokwien', 'vienna', 'Museen', 'newshoes', 'leopoldmuseum']",31,-0.155172413793104,-4.81034482758621
community cluster 542,"['cocktail', 'gewinnspiel', 'pizzateig', 'vegan', 'falstaff', 'cocktails', 'pizza', 'fruits']",53,-0.090909090909091,-4.81818181818182
community cluster 1822,"['girlpower', 'flowers', 'ootd', 'love', 'italia', 'outfitoftheday', 'springvibes']",54,-0.089285714285714,-4.82142857142857
community cluster 2506,"['goodvibes', 'family', 'catlovers', 'flowers', 'sunshine', 'birthday', 'cats', 'sun']",54,-0.089285714285714,-4.82142857142857
community cluster 2891,"['blackisthenewblack', 'yellowheels', 'happyhalloween', 'halloween2020', 'shoesonfire', 'newshoes', 'memes', 'yellowshoes']",20,-0.241121495327103,-4.82242990654206
community cluster 708,"['tudook', 'JaPercebeuQueQuandoEuSorrio', 'letsgooutout', 'OMotivoNaoEMaisVoce', 'cafeeamor', 'OuCoisaParecida', 'EuPrefiroMeuCafeQuente', 'sertanejo']",9,-0.536082474226804,-4.82474226804124
community cluster 1316,"['fashiongram', 'fashionstyle', 'exploretheworld', 'austrianblogger', 'summervibes', 'fashioninspo', 'fashionista', 'ootdfashion']",40,-0.120689655172414,-4.82758620689656
community cluster 3731,"['adventuretime', 'shootingday', 'cessna152', 'traveling', 'hochwurzen', 'shootingphoto', 'schladming', 'shooting']",22,-0.219512195121951,-4.82926829268293
community cluster 3837,"['fakeleather', 'empowerment', 'femalebusiness', 'solidaritywithafghanistan', 'vienna', 'frauenrechte', 'curls', 'singersongwriter']",22,-0.219512195121951,-4.82926829268293
community cluster 182,"['blackouttuesday', 'cargirl', 'throwback', 'home', 'summervibes', 'sofresh', 'croatia', 'mindset']",55,-0.087912087912088,-4.83516483516483
community cluster 2475,"['newfriends', 'qualitytime', 'mountaintop', 'großersonnstein', 'exploreboston', 'naturelove', 'youcandoit', 'funtimestogether']",17,-0.284444444444444,-4.83555555555556
community cluster 277,"['throwback', '2k19', 'brand', 'nature', 'winterwonderland', 'vacation', 'cold', 'croatia']",59,-0.081967213114754,-4.83606557377049
community cluster 2332,"['throwback', 'hiking', 'stayhome', 'paradise', 'steiermark', 'relaxing', 'holidaymood', 'stayhealthy']",59,-0.081967213114754,-4.83606557377049
community cluster 2504,"['goodvibes', 'sunshine', 'catlovers', 'flowers', 'birthday', 'cats', 'tattoo', 'sun']",46,-0.105263157894737,-4.84210526315789
community cluster 356,"['frühstück', 'breakfasttime', 'breakfastclub', 'instagood', 'coffeelover', 'fashion']",48.75,-0.099378881987578,-4.8447204968944
community cluster 1930,"['today', 'redbourbon', 'BagCoffeeMaker', 'kombuchafermented', 'elsalvador', 'drinkcoffeedogood', 'nostuffadded', 'wildkaffee']",9,-0.538461538461538,-4.84615384615385
community cluster 1629,"['nachhaltig', 'veggie', 'nachspeise', 'job', 'dessert', 'cocktails', 'foodie', 'vegetarisch']",37,-0.131147540983607,-4.85245901639344
community cluster 300,"['experiences', 'adventuretime', 'family', 'traveling', 'styria', 'mountains', 'roadtrip', 'vacationmode']",55,-0.088235294117647,-4.85294117647058
community cluster 2570,"['gastgarten', 'shopping', 'regional', 'reopening', 'steiermark', 'feiern', 'frühling', 'kaffee']",51,-0.095238095238095,-4.85714285714286
community cluster 1063,"['neuimregal', 'cassis', 'summervibes', 'ananas', 'vegetarisch', 'wein']",43.75,-0.111111111111111,-4.86111111111111
community cluster 1965,"['rose', 'wine', 'ingwer', 'ginger', 'wermut', 'editions', 'cheers', 'wermouth']",25,-0.194444444444444,-4.86111111111111
community cluster 2702,"['2min2mio', 'microgreens', 'veganaustria', 'tasty', 'selfmade', 'food', 'drinks', 'berries']",47,-0.103448275862069,-4.86206896551724
community cluster 2613,"['cheersrost', 'prost', 'gewinnspiel', 'erfrischung', 'steirisch', 'esseningraz', 'feiern', 'cityofgraz']",33,-0.147540983606557,-4.86885245901639
community cluster 2561,"['breakfast', 'frühstück', 'tasty', 'fruits', 'whatveganseat', 'veganfood']",47.5,-0.102564102564103,-4.87179487179487
community cluster 2110,"['streetstyle', 'smile', 'style', 'fashionlover', 'outdoor', 'moda', 'sunglasses', 'shooting']",39,-0.125,-4.875
community cluster 75,"['friends', 'travelgram', 'love', 'inlove', 'graz', 'greece']",57.5,-0.084821428571429,-4.87723214285715
community cluster 632,"['friends', 'sweet', 'goodvibes', 'monday', 'holiday', 'wednesday', 'tb', 'friday']",55,-0.088888888888889,-4.88888888888889
community cluster 3008,"['mia', 'believeinyourself', 'nevertooold', 'shoeaddict', 'firstprize', 'shoestagram', 'mockery', 'shoeswag']",9,-0.544117647058823,-4.89705882352941
community cluster 1596,"['inspiration', 'team', 'tapeten', 'teamspirit', 'restaurant', 'farben', 'notjustapearlchallenge', 'hotel']",29,-0.169014084507042,-4.90140845070422
community cluster 459,"['christmas', 'japan', 'cider', 'apple', 'icetea', 'applecider', 'drinks', 'yummy']",45,-0.109090909090909,-4.90909090909091
community cluster 3747,"['cessna152', 'flyinglife', 'flyinginnature', 'flyingphotography', 'photo', 'austriaadventures', 'natureinthecity', 'outdooradventures']",13,-0.377777777777778,-4.91111111111111
community cluster 1039,"['new', 'apfel', 'germany', 'snack', 'herbst', 'bio', 'vegetarisch', 'organic']",35,-0.140350877192982,-4.91228070175439
community cluster 663,"['fridaymood', 'flowers', 'hikingadventures', 'austrianblogger', 'foodblogger', 'mondaymood', 'weekendmood', 'beautiful']",45,-0.109375,-4.921875
community cluster 1459,"['homemade', 'cute', 'vanille', 'selbstgemacht', 'vegan', 'essen', 'life', 'fashion']",48,-0.102564102564103,-4.92307692307692
community cluster 313,"['nextlevel', 'styria', 'followyourdesires', 'followyourheart', 'levelup', 'colours', 'beautiful', 'healing']",32,-0.153846153846154,-4.92307692307693
community cluster 373,"['weihnachten', 'wandern', 'nature', 'cake', 'photography', 'cider', 'yummy', 'surprise']",65,-0.075757575757576,-4.92424242424243
community cluster 2376,"['sightseeing', 'valentinstag', 'nature', 'water', 'photography', 'ostern', 'stadtgraz', 'art']",65,-0.075757575757576,-4.92424242424243
community cluster 1723,"['rotbusch', 'erfrischend', 'lecker', 'wochenende', 'icetea', 'beeren', 'freitag', 'rooibos']",38,-0.12962962962963,-4.92592592592593
community cluster 1853,"['girlpower', 'flowers', 'flowerbouquet', 'italia', 'tulips', 'austria', 'fromwhereistand']",25.875,-0.190476190476191,-4.92857142857143
community cluster 621,"['holiday', 'split', 'mondaymood', 'ship', 'outdoor', 'sun', 'yummy', 'sea']",53,-0.093023255813954,-4.93023255813954
community cluster 3561,"['atempo', 'komminsteam', 'gastro', 'job', 'mitliebegemacht', 'hauseigenergarten', 'welcomeback', 'gemüseausdemgarten']",12,-0.410958904109589,-4.93150684931507
community cluster 2446,"['makeup', 'kunsthauscafegraz', 'drinks', 'sonne', 'kino', 'liebe', 'summer']",27,-0.182724252491694,-4.93355481727575
community cluster 1377,"['traveltheworld', 'blumenwiese', 'natur', 'mountainview', 'vacation', 'vacationmode', 'austria', 'vacay']",41,-0.120481927710843,-4.93975903614458
community cluster 2441,"['muttertag', 'holiday', 'entspannen', 'mothersday', 'neuewege', 'brunch', 'holidaymood', 'summer']",33,-0.15,-4.95
community cluster 3223,"['yellowheels', 'Pandemie', 'österreich', 'firstprize', 'redhighheels', 'redheels', 'yellowshoes']",24.75,-0.2,-4.95
community cluster 1289,"['fashiongram', 'streetstyle', 'exploretheworld', 'fashionlover', 'graz', 'dressup', 'summeroutfit', 'austria']",19,-0.260869565217391,-4.95652173913044
community cluster 3024,"['yellowheels', 'happyhalloween', 'igerslinz', 'halloween2020', 'shoesonfire', 'redheels', 'memes', 'yellowshoes']",21,-0.236363636363636,-4.96363636363636
community cluster 2018,"['salzburgaustria', 'coffeelover', 'coffeetime', 'visitsalzburg', 'igerssalzburg', 'coffee']",33.75,-0.147121535181237,-4.96535181236674
community cluster 3547,"['picknickbox', 'kernöl', 'summerinthecity', 'lehre', 'mitliebegemacht', 'insta', 'lehrlingsausbildung', 'igersaustria']",27,-0.183908045977012,-4.96551724137931
community cluster 153,"['office', 'spitalkirche', 'administration', 'generaliopen', 'ameizing', 'kitzbühel', 'business', 'artist']",16,-0.310344827586207,-4.96551724137931
community cluster 3160,"['stylingshoes', 'myshoestoday', 'madeinitalyshoes', 'summervibes', 'happyhalloween', 'stylishshoes', 'shoesofig', 'shoesforwomen']",28,-0.17741935483871,-4.96774193548387
community cluster 721,"['herzensfreude', 'freude', 'soundhorn', 'folgedeinemherzen', 'freiheit', 'meditation', 'liebe', 'bewusstsein']",23,-0.216,-4.968
community cluster 955,"['grazaustria', 'vegan', 'brotbacken', 'reels', 'gebäck', 'healthyfood', 'kuchenliebe', 'igersaustria']",53,-0.09375,-4.96874999999999
community cluster 3407,"['yellowheels', 'newstyle', 'fashionstyle', 'newstory', 'fashioninspo', 'dressup', 'fridayfeet', 'fashionable']",13,-0.382352941176471,-4.97058823529412
community cluster 1791,"['ingwer', 'healthy', 'win', 'energy', 'giveaway', 'pure']",37.5,-0.13265306122449,-4.97448979591837
community cluster 2802,"['friends', 'wien', 'family', 'sightseeing', 'shopping', 'style', 'donau', 'red']",56,-0.088888888888889,-4.97777777777778
community cluster 2344,"['loveit', 'musicians', 'streetstyle', 'cover', 'weekendvibes', 'austria', 'livemusic', 'urban']",26,-0.191489361702128,-4.97872340425532
community cluster 827,"['gewinnspiel', 'igerslinz', 'mut', 'diesteirerin', 'stadtgraz', 'fairtrade', 'interview']",34.875,-0.142857142857143,-4.98214285714285
community cluster 1485,"['goodmorning', 'cute', 'vegan', 'foodlover', 'desserts', 'fun', 'fashion', 'lifestyle']",68,-0.073529411764706,-5
community cluster 608,"['flowers', 'foodporn', 'pasta', 'sunnyday', 'happyday', 'mondaymood', 'cake', 'foodlovers']",48,-0.104166666666667,-5
community cluster 2111,"['shooting', '2021', 'styria', 'fashionlover', 'outdoor', 'summer', 'lifestyle']",45,-0.111111111111111,-5
community cluster 1288,"['adventuretime', 'traveltheworld', 'happiness', 'wanderlust', 'exploremore', 'grateful', 'travelling', 'greece']",37,-0.135135135135135,-5
community cluster 3619,"['freedomlife', 'flyinglife', 'flyinginnature', 'flyingphotography', 'steiermark', 'austriaadventures', 'outdooradventures', 'respectnature']",27,-0.185185185185185,-5
community cluster 980,"['kürbis', 'italianfood', 'polenta', 'veggiefood', 'tarte', 'vegetarisch']",20,-0.25,-5
community cluster 2882,"['yellowheels', 'happyhalloween', 'halloween2020', 'shoesonfire', 'attitude', 'newshoes', 'memes', 'yellowshoes']",20,-0.25,-5
community cluster 2890,"['yellowheels', 'happyhalloween', 'halloween2020', 'shoesonfire', 'blacksneakers', 'newshoes', 'memes', 'yellowshoes']",20,-0.25,-5
community cluster 2899,"['yellowheels', 'happyhalloween', 'shoemaker', 'halloween2020', 'shoesonfire', 'newshoes', 'memes', 'yellowshoes']",20,-0.25,-5
community cluster 2905,"['yellowheels', 'comfy', 'happyhalloween', 'halloween2020', 'shoesonfire', 'newshoes', 'memes', 'yellowshoes']",20,-0.25,-5
community cluster 2931,"['yellowheels', 'happyhalloween', 'halloween2020', 'shoesonfire', 'shoedangle', 'newshoes', 'memes', 'yellowshoes']",20,-0.25,-5
community cluster 2947,"['yellowheels', 'happyhalloween', 'halloween2020', 'shoesoftheday', 'shoesonfire', 'newshoes', 'memes', 'yellowshoes']",20,-0.25,-5
community cluster 3007,"['yellowheels', 'believeinyourself', 'happyhalloween', 'halloween2020', 'shoesonfire', 'redheels', 'memes', 'yellowshoes']",20,-0.25,-5
community cluster 3049,"['yellowheels', 'happyhalloween', 'halloween2020', 'shoesonfire', 'shoetingstar', 'redheels', 'memes', 'yellowshoes']",20,-0.25,-5
community cluster 3744,"['cessna152', 'hikingadventures', 'austriahiking', 'schladming2021', 'travelingram', 'austriamountains', 'schladmingrohrmoospichl', 'styriatravel']",13,-0.384615384615385,-5
community cluster 3408,"['yellowheels', 'fridaymood', 'feetup', 'idontgiveashit', 'instashoestyle', 'feetupfriday', 'shoesfashionista', 'fridayfeeling']",11,-0.454545454545455,-5
community cluster 986,"['abnehmen', 'zuckerreduziert', 'kombucha', 'frucht', 'icetea', 'newdrink', 'energy', 'staytuned']",29,-0.172727272727273,-5.00909090909091
community cluster 1714,"['giveaway', 'hitze', 'fresh', 'frisch', 'selfmade', 'rezepte', 'share', 'berries']",34,-0.147435897435897,-5.01282051282051
community cluster 3063,"['wonder', 'artinspirations', 'wunder', 'artinspo', 'firstprize', 'stadtgraz', 'artoftheday', 'miracles']",14,-0.358490566037736,-5.0188679245283
community cluster 1367,"['naturephotography', 'adventure', 'adventuretime', 'travelphotography', 'travel', 'wanderlust', 'schweiz', 'abenteuer']",49,-0.102564102564103,-5.02564102564103
community cluster 2967,"['mumie', 'expensivelifestyle', 'halloweenkostüm', 'expensive', 'kostüm', 'expensivelifestyles', 'newshoes', 'costumedesign']",9,-0.558441558441559,-5.02597402597403
community cluster 1378,"['adventure', 'adventuretime', 'outdoor', 'vacationmode', 'vacation', 'mountainview', 'vacay']",47.25,-0.106382978723404,-5.02659574468085
community cluster 2116,"['breakfast', 'presents', 'sunrise', 'style', 'xmas', 'happylife', 'coffee']",47.25,-0.106382978723404,-5.02659574468085
community cluster 3727,"['cessna152', 'love', 'natureshot', 'forestlover', 'naturelife', 'forestlife']",33.75,-0.148936170212766,-5.02659574468085
community cluster 1668,"['lebensfreude', 'mutigdiewelterobern', 'glaubandich', 'personalisiertenamenslieder', 'selbstwertschätzung', 'berufung', 'musikgibtkraft', 'aufstellung']",12,-0.419148936170213,-5.02978723404255
community cluster 1701,"['minze', 'cocktail', 'hitze', 'genuss', 'frisch', 'erdbeeren', 'rezepte', 'lemon']",31,-0.162393162393162,-5.03418803418803
community cluster 1408,"['instagram', 'lecker', 'essen', 'cake', 'graz', 'food', 'selfie', 'yummy']",47,-0.107142857142857,-5.03571428571428
community cluster 716,"['lebensfreude', 'wahrheitleben', 'klarheit', 'mut', 'berufung', 'meditation', 'bewusstsein', 'achtsamkeit']",20,-0.252054794520548,-5.04109589041096
community cluster 1541,"['goodmorning', 'music', 'sunshine', 'happyday', 'life', 'reels', 'fun', 'weekend']",58,-0.086956521739131,-5.04347826086957
community cluster 3304,"['yellowheels', 'expensivelifestyle', 'expensivelifestyles', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",14.625,-0.345454545454545,-5.05227272727273
community cluster 714,"['foryourlove', 'nightout', 'dontwannawaitinvain', 'summervibes', 'london', 'icetea', 'sertanejo', 'summer']",36,-0.140350877192982,-5.05263157894737
community cluster 1311,"['adventuretime', 'travelgram', 'austrianblogger', 'fashioninspo', 'exploremore', 'wanderlust', 'austria', 'outdooradventures']",32,-0.157894736842105,-5.05263157894737
community cluster 2820,"['breakfast', 'delicious']",22.75,-0.222222222222222,-5.05555555555555
community cluster 3549,"['steirer', 'thaifood', 'mittagsmenü', 'mitliebegemacht', 'grazkulturjahr2020', 'steirerthaicurry', 'curry', 'lugitschsteirerhuhn']",12,-0.422535211267606,-5.07042253521127
community cluster 2575,"['gastgarten', 'cafefotter', 'reopening', 'cafefottergraz', 'breakfastclub', 'coffeelover', 'frühling', 'kaffee']",34,-0.149253731343284,-5.07462686567164
community cluster 2732,"['photoshoot', 'paradise', 'student', 'graz', 'park', 'beverage', 'coworkingspace', 'fruit']",20,-0.253731343283582,-5.07462686567164
community cluster 3546,"['steirer', 'summerinthecity', 'daslorenz', 'graz', 'mitliebegemacht', 'cocktails', 'gutessengraz', 'daslorenzgraz']",15,-0.338709677419355,-5.08064516129032
community cluster 1078,"['fotografie', 'picoftheday', 'photoshoot', 'nature', 'happyday', 'beauty', 'perfectday', 'break']",45,-0.112903225806452,-5.08064516129033
community cluster 1786,"['minze', 'hitze', 'wasser', 'wochenstart', 'genuss', 'frisch', 'erdbeeren', 'rezepte']",25,-0.203252032520325,-5.08130081300813
community cluster 1973,"['ingwer', 'ginger', 'wermut', 'wineoclock', 'win', 'giveaway', 'wermouth']",30.375,-0.16734693877551,-5.08316326530612
community cluster 3292,"['things', 'new', 'innovative', 'project', 'halloween2020', 'designforlife', 'shoeshop', 'discover']",15,-0.338888888888889,-5.08333333333333
community cluster 388,"['like', 'chai', 'healthy', 'icetea', 'tee', 'matcha', 'milktea', 'yummy']",42,-0.121212121212121,-5.09090909090909
community cluster 1542,"['goodmorning', 'view', 'explore', 'vegan', 'happysunday', 'motivation', 'beauty', 'lifestyle']",51,-0.1,-5.1
community cluster 973,"['gewinnspiel', 'bowl', 'frühstück', 'konditorei', 'italianfood', 'esseningraz', 'vegetarisch', 'lavendel']",38,-0.134328358208955,-5.10447761194029
community cluster 1278,"['streetstyle', 'fashionlover', 'graz', 'summerdress', 'portraitphotography', 'selflove', 'summeroutfit', 'loveyourself']",23,-0.222222222222222,-5.11111111111111
community cluster 2937,"['yellowheels', 'happyhalloween', 'halloween2020', 'selfmade', 'shoesonfire', 'newshoes', 'memes', 'yellowshoes']",23,-0.222222222222222,-5.11111111111111
community cluster 3023,"['yellowheels', 'linz', 'happyhalloween', 'halloween2020', 'shoesonfire', 'redheels', 'memes', 'yellowshoes']",23,-0.222222222222222,-5.11111111111111
community cluster 3502,"['winning', 'firstprize', 'together', 'redhighheels', 'win', 'spreadtheword', 'winwinwin', 'spreadlove']",20,-0.255747126436782,-5.11494252873563
community cluster 1555,"['qualitytime', 'sunshine', 'happyday', 'vienna', 'nice', 'highheels', 'sunglasses', 'blondhair']",49,-0.104477611940299,-5.11940298507463
community cluster 3181,"['fitting', 'heelerella', 'story', 'happyhalloween', 'halloween2020', 'shoediary', 'storyteller', 'comic']",13,-0.393939393939394,-5.12121212121212
community cluster 1736,"['homemade', 'gewinnspiel', 'friday', 'icetea', 'share', 'win', 'giveaway', 'rooibos']",50,-0.102564102564103,-5.12820512820513
community cluster 3604,"['shootingtime', 'cessna152', 'schöckl', 'naturefriends', 'haveaniceday', 'steiermark', 'naturelife', 'airportgraz']",26,-0.197368421052632,-5.13157894736842
community cluster 3672,"['shootingtime', 'cessna152', 'schöckl', 'styria', 'mountain', 'cessna152lovers', 'airportgraz', 'flyinthesky']",26,-0.197368421052632,-5.13157894736842
community cluster 976,"['grazaustria', 'gewinnspiel', 'konditorei', 'happyme', 'esseningraz', 'tarte']",37.5,-0.136904761904762,-5.13392857142857
community cluster 3849,"['musicaustria', 'trap', 'happiness', 'shirt', 'hello2021', 'reachingmygoals', 'vienna', 'goodbye2020']",29,-0.177215189873418,-5.13924050632911
community cluster 829,"['gewinnspiel', 'blogger_at', 'reiseblogger', 'igergraz', 'blogger', 'einfachkochen', 'mut', 'winelover']",30,-0.171428571428571,-5.14285714285714
community cluster 1957,"['winelife', 'roséallday', 'wineoclock', 'localbrand', 'Gewinnspiel', 'winelover', 'localbusiness', 'giveaway']",27,-0.19047619047619,-5.14285714285714
community cluster 2029,"['blueeyes', 'streetstyle', 'photoshoot', 'styria', 'style', 'highheels', 'lifestyle']",48.375,-0.106382978723404,-5.14627659574468
community cluster 3229,"['yellowheels', 'architekturzentrumwien', 'mumokmuseum', 'redhighheels', 'mumok', 'redheels']",12.5,-0.411764705882353,-5.14705882352941
community cluster 1284,"['travelgram', 'traveltheworld', 'summervibes', 'graz', 'goldenhour', 'travelling', 'austria', 'greece']",39,-0.132075471698113,-5.15094339622642
community cluster 2828,"['feethurt', 'taketime', 'shoppingtime', 'vienna', 'runningaround', 'parkplaza', 'walkingaround', 'tube']",22,-0.234375,-5.15625
community cluster 2481,"['goodvibes', 'family', 'colorfullife', 'catlovers', 'love', 'exciting', 'cats', 'naturelove']",49,-0.105263157894737,-5.1578947368421
community cluster 1678,"['rituale', 'mutigdiewelterobern', 'mutigdiewelteroberm', 'bewusstsein', 'taufgeschenke']",9.625,-0.536388140161725,-5.1627358490566
community cluster 3786,"['cessna', 'airport', 'upinthesky', 'summerfeeling', 'cessna152flying', 'natureshot', 'cessna152aerobat', 'photoshooting']",14,-0.369230769230769,-5.16923076923077
community cluster 1190,"['quoteoftheday', 'christmas', 'muttertag', 'newyear', 'asianfoodforlife', 'newyearscelebration', 'essenszitat', 'fun']",40,-0.129268292682927,-5.17073170731707
community cluster 1601,"['gin', 'vegan', 'genuss', 'veggie', 'kunst', 'design', 'challenge', 'art']",49,-0.105555555555556,-5.17222222222222
community cluster 2449,"['holiday', 'sonntag', 'sightseeing', 'zeit', 'sonne', 'selfie', 'summer']",31.5,-0.164285714285714,-5.175
community cluster 1920,"['clean', 'easydrinking', 'enjoylife', 'graz', 'BagCoffeeMaker', 'panchito', 'Distributors', 'tasteslikesummer']",11,-0.470588235294118,-5.17647058823529
community cluster 2857,"['adventuretravel', 'throwback', 'enjoythemoment', 'nature', 'wanderlust', 'enjoylife', 'summer']",46.125,-0.112328767123288,-5.18116438356164
community cluster 1628,"['career', 'karriereturbo', 'nachspeise', 'dessert', 'preise', 'patissier', 'notjustapearlchallenge', 'karriere']",15,-0.345454545454545,-5.18181818181818
community cluster 1679,"['gewinnspiel', 'freude', 'natur', 'selbstliebe', 'meditation', 'entspannung']",43.75,-0.11854103343465,-5.18617021276596
community cluster 2049,"['goodmorning', 'tuscany', 'qualitytime', 'throwback', 'bellaitalia', 'italy', 'portrait', 'weekend']",52,-0.1,-5.2
community cluster 1276,"['nakdfashion', 'austrianblogger', 'summervibes', 'businesswoman', 'graz', 'summeroutfit', 'austria', 'blogger_de']",36,-0.144736842105263,-5.21052631578947
community cluster 531,"['friendshipgoals', 'pizzateig', 'chili', 'pizza', 'handmade', 'hotsauce', 'austria']",24.75,-0.210526315789474,-5.21052631578947
community cluster 1868,"['coldbrew', 'wahrelieberostetnicht', 'icecoffee', 'Gewinnspiel', 'BagCoffeeMaker', 'newwork', 'summer', 'innovation']",18,-0.289855072463768,-5.21739130434783
community cluster 715,"['throwback', 'split', 'abnehmen', 'summervibes', 'staytuned', 'eistee', 'newdrink', 'summer']",47,-0.111111111111111,-5.22222222222222
community cluster 2507,"['goodvibes', 'family', 'flowers', 'catlovers', 'sunshine', 'birthday', 'sun']",58.5,-0.089285714285714,-5.22321428571429
community cluster 1009,"['mango', 'zuckerreduziert', 'guarana', 'matcha', 'abnehmen', 'erdbeere']",16.25,-0.321428571428571,-5.22321428571429
community cluster 2087,"['throwback', 'sunshine', 'sundown', 'icetea', 'beautiful', 'outfitoftheday', 'tuscany', 'weekend']",54,-0.096774193548387,-5.22580645161291
community cluster 1987,"['kunsthaus', 'superfood', 'vienna', 'healthy', 'igersgraz', 'bio', 'drinkstagram']",64.125,-0.081632653061225,-5.23469387755102
community cluster 3157,"['modainsta', 'mode', 'bedifferent', 'austrianblogger', 'happyhalloween', 'madeinitaly', 'fashion', 'designedinaustria']",27,-0.194029850746269,-5.23880597014925
community cluster 3377,"['passage', '2min2mio', 'shopping', 'zur', 'mut', 'latenight', 'latenightshopping', 'yellowshoes']",20,-0.262295081967213,-5.24590163934426
community cluster 3761,"['reelsofinstagram', 'travel', 'mountains', 'hiking', 'love', 'natureshot', 'austrialove', 'austriareels']",56,-0.09375,-5.25
community cluster 2673,"['newin', 'happy', 'frisch', 'matetea', 'graz', 'sonne', 'startup', 'frühling']",42,-0.125,-5.25
community cluster 2883,"['yellowheels', 'happyhalloween', 'halloween2020', 'shoesonfire', 'memes', 'newshoes', 'black', 'yellowshoes']",21,-0.25,-5.25
community cluster 844,"['fotografie', 'essenmachtglücklich', 'graz', 'backen', 'foodblog', 'backenmachtglücklich', 'schokolade', 'chocolatecake']",19,-0.276315789473684,-5.25
community cluster 2864,"['naturephotography', 'naturelover', 'love', 'naturelove', 'schladming', 'lake', 'artwork']",46.125,-0.113924050632911,-5.25474683544304
community cluster 426,"['beautifulnature', 'cocktails', 'cheers', 'sunset', 'drink', 'drinks', 'alcohol', 'break']",44,-0.119565217391304,-5.26086956521739
community cluster 1272,"['fashionblogger', 'summervibes', 'businesswoman', 'graz', 'fashionista', 'selflove', 'vacationmode', 'austria']",40,-0.131578947368421,-5.26315789473684
community cluster 2873,"['yellowheels', 'happyhalloween', 'halloween2020', 'shoesonfire', 'lookinggood', 'newshoes', 'memes', 'yellowshoes']",20,-0.263157894736842,-5.26315789473684
community cluster 2876,"['yellowheels', 'happyhalloween', 'halloween2020', 'shoesonfire', 'lyingaround', 'newshoes', 'memes', 'yellowshoes']",20,-0.263157894736842,-5.26315789473684
community cluster 2885,"['yellowheels', 'happyhalloween', 'halloween2020', 'blackinblack', 'shoesonfire', 'newshoes', 'memes', 'yellowshoes']",20,-0.263157894736842,-5.26315789473684
community cluster 2896,"['yellowheels', 'mockerymia', 'happyhalloween', 'halloween2020', 'shoesonfire', 'newshoes', 'memes', 'yellowshoes']",20,-0.263157894736842,-5.26315789473684
community cluster 2902,"['yellowheels', 'shoearchitect', 'happyhalloween', 'halloween2020', 'shoesonfire', 'newshoes', 'memes', 'yellowshoes']",20,-0.263157894736842,-5.26315789473684
community cluster 2927,"['yellowheels', 'happyhalloween', 'halloween2020', 'lacelessdesign', 'shoesonfire', 'newshoes', 'memes', 'yellowshoes']",20,-0.263157894736842,-5.26315789473684
